time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 0, 0, 0, 0, 0, 0, 0, 0, 0
250, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 0, 0, 0, 0, 0, 0, 0, 0, 0
350, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 0, 0, 0, 0, 0, 0, 0, 0, 0
450, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 0, 0, 0, 0, 0, 0, 0, 0, 0
550, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 0, 0, 0, 0, 0, 0, 0, 0, 0
650, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 0, 0, 0, 0, 0, 0, 0, 0, 0
750, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 0, 0, 0, 0, 0, 0, 0, 0, 0
850, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 0, 0, 0, 0, 0, 0, 0, 0, 0
950, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 0, 0, 0, 0, 0, 0, 0, 0, 0
1050, 0, 0, 0, 0, 0, 0, 0, 0, 0
1100, 0, 0, 0, 0, 0, 0, 0, 0, 0
1150, 0, 0, 0, 0, 0, 0, 0, 0, 0
1200, 0, 0, 0, 0, 0, 0, 0, 0, 0
1250, 0, 0, 0, 0, 0, 0, 0, 0, 0
1300, 0, 0, 0, 0, 0, 0, 0, 0, 0
1350, 0, 0, 0, 0, 0, 0, 0, 0, 0
1400, 0, 0, 0, 0, 0, 0, 0, 0, 0
1450, 0, 0, 0, 0, 0, 0, 0, 0, 0
1500, 0, 0, 0, 0, 0, 0, 0, 0, 0
1550, 0, 0, 0, 0, 0, 0, 0, 0, 0
1600, 0, 0, 0, 0, 0, 0, 0, 0, 0
1650, 0, 0, 0, 0, 0, 0, 0, 0, 0
1700, 0, 0, 0, 0, 0, 0, 0, 0, 0
1750, 0, 0, 0, 0, 0, 0, 0, 0, 0
1800, 0, 0, 0, 0, 0, 0, 0, 0, 0
1850, 0, 0, 0, 0, 0, 0, 0, 0, 0
1900, 0, 0, 0, 0, 0, 0, 0, 0, 0
1950, 51178, 0, 0, 0, 65535, 3.03393281212095, 0, 0, 0
2000, 60075, 60075, 60075, 60075, 65535, 3.03393426217594, 3.03393426217594, 3.03393426217594, 3.03393426217594
2050, 65535, 65535, 65535, 65535, 65535, 2.6604106426239, 2.6604106426239, 2.6604106426239, 2.6604106426239
2100, 65394, 65394, 65394, 65394, 65535, 3.03392753304211, 3.03392753304211, 3.03392753304211, 3.03392753304211
2150, 60171, 60171, 60171, 60171, 65535, 3.03393595853314, 3.03393595853314, 3.03393595853314, 3.03393595853314
2200, 54590, 54590, 54590, 54590, 65535, 3.03394022236757, 3.03394022236757, 3.03394022236757, 3.03394022236757
2250, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2300, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2350, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2400, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2450, 54432, 54432, 54432, 54432, 65535, 3.03392764855697, 3.03392764855697, 3.03392764855697, 3.03392764855697
2500, 0, 0, 0, 54041, 0, 0, 0, 0, 3.03389806680861
2550, 0, 0, 0, 0, 0, 0, 0, 0, 0
2600, 0, 0, 0, 0, 0, 0, 0, 0, 0
2650, 0, 0, 0, 0, 0, 0, 0, 0, 0
2700, 0, 0, 0, 0, 0, 0, 0, 0, 0
2750, 0, 0, 0, 0, 0, 0, 0, 0, 0
2800, 0, 0, 0, 0, 0, 0, 0, 0, 0
2850, 0, 0, 0, 0, 0, 0, 0, 0, 0
2900, 0, 0, 0, 0, 0, 0, 0, 0, 0
2950, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 0, 0, 0, 0, 0, 0, 0, 0, 0
3050, 0, 0, 0, 0, 0, 0, 0, 0, 0
3100, 0, 0, 0, 0, 0, 0, 0, 0, 0
3150, 0, 0, 0, 0, 0, 0, 0, 0, 0
3200, 0, 0, 0, 0, 0, 0, 0, 0, 0
3250, 0, 0, 0, 0, 0, 0, 0, 0, 0
3300, 0, 0, 0, 0, 0, 0, 0, 0, 0
3350, 0, 0, 0, 0, 0, 0, 0, 0, 0
3400, 0, 0, 0, 0, 0, 0, 0, 0, 0
3450, 0, 0, 0, 0, 0, 0, 0, 0, 0
3500, 0, 0, 0, 0, 0, 0, 0, 0, 0
3550, 0, 0, 0, 0, 0, 0, 0, 0, 0
3600, 0, 0, 0, 0, 0, 0, 0, 0, 0
3650, 0, 0, 0, 0, 0, 0, 0, 0, 0
3700, 0, 0, 0, 0, 0, 0, 0, 0, 0
3750, 0, 0, 0, 0, 0, 0, 0, 0, 0
3800, 0, 0, 0, 0, 0, 0, 0, 0, 0
3850, 0, 0, 0, 0, 0, 0, 0, 0, 0
3900, 0, 0, 0, 0, 0, 0, 0, 0, 0
3950, 0, 0, 0, 0, 0, 0, 0, 0, 0
4000, 0, 0, 0, 0, 0, 0, 0, 0, 0
4050, 0, 0, 0, 0, 0, 0, 0, 0, 0
4100, 0, 0, 0, 0, 0, 0, 0, 0, 0
4150, 347, 347, 0, 0, 256, 0.0205708446169442, 0.0205708446169442, 0, 0
4200, 347, 347, 347, 347, 256, 0.0205708446169442, 0.0205708446169442, 0.0205708446169442, 0.0205708446169442
4250, 693, 693, 347, 347, 512, 0.0410824072609288, 0.0410824072609288, 0.0205708446169442, 0.0205708446169442
4300, 693, 693, 693, 693, 512, 0.0410824072609288, 0.0410824072609288, 0.0410824072609288, 0.0410824072609288
4350, 1038, 1038, 693, 693, 768, 0.061534687931954, 0.061534687931954, 0.0410824072609288, 0.0410824072609288
4400, 1038, 1038, 1038, 1038, 768, 0.061534687931954, 0.061534687931954, 0.061534687931954, 0.061534687931954
4450, 1382, 1382, 1038, 1038, 1024, 0.0819276866300197, 0.0819276866300197, 0.061534687931954, 0.061534687931954
4500, 1382, 1382, 1382, 1382, 1024, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197
4550, 1725, 1382, 1382, 1382, 1280, 0.102261403355126, 0.0819276866300197, 0.0819276866300197, 0.0819276866300197
4600, 1725, 1725, 1725, 1725, 1280, 0.102261403355126, 0.102261403355126, 0.102261403355126, 0.102261403355126
4650, 2066, 2066, 1725, 1725, 1536, 0.122476556134313, 0.122476556134313, 0.102261403355126, 0.102261403355126
4700, 2066, 2066, 2066, 2066, 1536, 0.122476556134313, 0.122476556134313, 0.122476556134313, 0.122476556134313
4750, 2410, 2410, 2069, 2069, 1792, 0.142675430012339, 0.142675430012339, 0.122487744686941, 0.122487744686941
4800, 2410, 2410, 2410, 2410, 1792, 0.142675430012339, 0.142675430012339, 0.142675430012339, 0.142675430012339
4850, 2750, 2750, 2410, 2410, 2048, 0.162803913914494, 0.162803913914494, 0.142675430012339, 0.142675430012339
4900, 2750, 2750, 2750, 2750, 2048, 0.162803913914494, 0.162803913914494, 0.162803913914494, 0.162803913914494
4950, 3084, 3084, 2746, 2746, 2304, 0.182825604607077, 0.182825604607077, 0.162788297746768, 0.162788297746768
5000, 3088, 3088, 3088, 3088, 2304, 0.182813994970167, 0.182813994970167, 0.182813994970167, 0.182813994970167
5050, 3425, 3425, 3088, 3088, 2560, 0.202764874602597, 0.202764874602597, 0.182813994970167, 0.182813994970167
5100, 3425, 3425, 3425, 3425, 2560, 0.202764874602597, 0.202764874602597, 0.202764874602597, 0.202764874602597
5150, 3762, 3425, 3425, 3425, 2816, 0.222715754235028, 0.202764874602597, 0.202764874602597, 0.202764874602597
5200, 3762, 3762, 3762, 3762, 2816, 0.222715754235028, 0.222715754235028, 0.222715754235028, 0.222715754235028
5250, 4097, 3762, 3762, 3762, 3072, 0.242548231020976, 0.222715754235028, 0.222715754235028, 0.222715754235028
5300, 4102, 4102, 4102, 4102, 3072, 0.242513838117743, 0.242513838117743, 0.242513838117743, 0.242513838117743
5350, 4431, 4097, 4097, 4097, 3328, 0.262321506383682, 0.242548231020976, 0.242548231020976, 0.242548231020976
5400, 4437, 4437, 4437, 4437, 3328, 0.262319331966949, 0.262319331966949, 0.262319331966949, 0.262319331966949
5450, 4770, 4437, 4437, 4437, 3584, 0.282006584061832, 0.262319331966949, 0.262319331966949, 0.262319331966949
5500, 4770, 4770, 4770, 4770, 3584, 0.282006584061832, 0.282006584061832, 0.282006584061832, 0.282006584061832
5550, 5102, 4770, 4770, 4770, 3840, 0.301634715279553, 0.282006584061832, 0.282006584061832, 0.282006584061832
5600, 5102, 5102, 5102, 5102, 3840, 0.301634715279553, 0.301634715279553, 0.301634715279553, 0.301634715279553
5650, 5433, 5102, 5102, 5102, 4096, 0.321203725620112, 0.301634715279553, 0.301634715279553, 0.301634715279553
5700, 5433, 5433, 5433, 5102, 4096, 0.321203725620112, 0.321203725620112, 0.321203725620112, 0.301634715279553
5750, 5763, 5433, 5433, 5433, 4352, 0.340713615083509, 0.321203725620112, 0.321203725620112, 0.321203725620112
5800, 5763, 5763, 5763, 5433, 4352, 0.340713615083509, 0.340713615083509, 0.340713615083509, 0.321203725620112
5850, 6099, 5770, 5770, 5770, 4608, 0.360086979269026, 0.340662710343053, 0.340662710343053, 0.340662710343053
5900, 6091, 6091, 6091, 5763, 4608, 0.360105262792582, 0.360105262792582, 0.360105262792582, 0.340713615083509
5950, 6427, 6099, 6099, 6099, 4864, 0.379452207863917, 0.360086979269026, 0.360086979269026, 0.360086979269026
6000, 6419, 6419, 6419, 6091, 4864, 0.379496910501656, 0.379496910501656, 0.379496910501656, 0.360105262792582
6050, 6754, 6427, 6427, 6427, 5120, 0.398758396127727, 0.379452207863917, 0.379452207863917, 0.379452207863917
6100, 6754, 6754, 6754, 6427, 5120, 0.398758396127727, 0.398758396127727, 0.398758396127727, 0.379452207863917
6150, 7080, 6754, 6754, 6754, 5376, 0.418005544060454, 0.398758396127727, 0.398758396127727, 0.398758396127727
6200, 7080, 7080, 7080, 6754, 5376, 0.418005544060454, 0.418005544060454, 0.418005544060454, 0.398758396127727
6250, 7080, 7080, 7080, 7080, 5376, 0.418005544060454, 0.418005544060454, 0.418005544060454, 0.418005544060454
6300, 7404, 7404, 7404, 7080, 5632, 0.437134611331017, 0.437134611331017, 0.437134611331017, 0.418005544060454
6350, 7404, 7404, 7404, 7404, 5632, 0.437134611331017, 0.437134611331017, 0.437134611331017, 0.437134611331017
6400, 7727, 7727, 7727, 7404, 5888, 0.456204638270498, 0.456204638270498, 0.456204638270498, 0.437134611331017
6450, 7727, 7727, 7727, 7727, 5888, 0.456204638270498, 0.456204638270498, 0.456204638270498, 0.456204638270498
6500, 8049, 8049, 8049, 7727, 6144, 0.475215624878897, 0.475215624878897, 0.475215624878897, 0.456204638270498
6550, 8049, 8049, 8049, 8049, 6144, 0.475215624878897, 0.475215624878897, 0.475215624878897, 0.475215624878897
6600, 8382, 8382, 8382, 8060, 6400, 0.494200917888108, 0.494200917888108, 0.494200917888108, 0.475215867117412
6650, 8370, 8370, 8370, 8370, 6400, 0.494167571156214, 0.494167571156214, 0.494167571156214, 0.494167571156214
6700, 8702, 8702, 8702, 8382, 6656, 0.513068049088799, 0.513068049088799, 0.513068049088799, 0.494200917888108
