time, m1_pwm, m2_pwm, m3_pwm, m4_pwm, set_pwm, calc_volt_m1, calc_volt_m2, calc_volt_m3, calc_volt_m4
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50, 0, 0, 0, 0, 0, 0, 0, 0, 0
100, 0, 0, 0, 0, 0, 0, 0, 0, 0
150, 0, 0, 0, 0, 0, 0, 0, 0, 0
200, 0, 0, 0, 0, 0, 0, 0, 0, 0
250, 0, 0, 0, 0, 0, 0, 0, 0, 0
300, 0, 0, 0, 0, 0, 0, 0, 0, 0
350, 0, 0, 0, 0, 0, 0, 0, 0, 0
400, 0, 0, 0, 0, 0, 0, 0, 0, 0
450, 0, 0, 0, 0, 0, 0, 0, 0, 0
500, 0, 0, 0, 0, 0, 0, 0, 0, 0
550, 0, 0, 0, 0, 0, 0, 0, 0, 0
600, 0, 0, 0, 0, 0, 0, 0, 0, 0
650, 0, 0, 0, 0, 0, 0, 0, 0, 0
700, 0, 0, 0, 0, 0, 0, 0, 0, 0
750, 0, 0, 0, 0, 0, 0, 0, 0, 0
800, 0, 0, 0, 0, 0, 0, 0, 0, 0
850, 0, 0, 0, 0, 0, 0, 0, 0, 0
900, 0, 0, 0, 0, 0, 0, 0, 0, 0
950, 0, 0, 0, 0, 0, 0, 0, 0, 0
1000, 0, 0, 0, 0, 0, 0, 0, 0, 0
1050, 0, 0, 0, 0, 0, 0, 0, 0, 0
1100, 0, 0, 0, 0, 0, 0, 0, 0, 0
1150, 0, 0, 0, 0, 0, 0, 0, 0, 0
1200, 0, 0, 0, 0, 0, 0, 0, 0, 0
1250, 0, 0, 0, 0, 0, 0, 0, 0, 0
1300, 0, 0, 0, 0, 0, 0, 0, 0, 0
1350, 0, 0, 0, 0, 0, 0, 0, 0, 0
1400, 0, 0, 0, 0, 0, 0, 0, 0, 0
1450, 0, 0, 0, 0, 0, 0, 0, 0, 0
1500, 0, 0, 0, 0, 0, 0, 0, 0, 0
1550, 0, 0, 0, 0, 0, 0, 0, 0, 0
1600, 0, 0, 0, 0, 0, 0, 0, 0, 0
1650, 0, 0, 0, 0, 0, 0, 0, 0, 0
1700, 0, 0, 0, 0, 0, 0, 0, 0, 0
1750, 0, 0, 0, 0, 0, 0, 0, 0, 0
1800, 0, 0, 0, 0, 0, 0, 0, 0, 0
1850, 0, 0, 0, 0, 0, 0, 0, 0, 0
1900, 0, 0, 0, 0, 0, 0, 0, 0, 0
1950, 51247, 0, 0, 0, 65535, 3.03389533686403, 0, 0, 0
2000, 55069, 55069, 55069, 55069, 65535, 3.03394798093051, 3.03394798093051, 3.03394798093051, 3.03394798093051
2050, 65535, 65535, 65535, 65535, 65535, 2.67624640464783, 2.67624640464783, 2.67624640464783, 2.67624640464783
2100, 63951, 63951, 63951, 63951, 65535, 3.03394317653147, 3.03394317653147, 3.03394317653147, 3.03394317653147
2150, 56557, 56557, 56557, 56557, 65535, 3.03392900859245, 3.03392900859245, 3.03392900859245, 3.03392900859245
2200, 54432, 54432, 54432, 54432, 65535, 3.03392764855697, 3.03392764855697, 3.03392764855697, 3.03392764855697
2250, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2300, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2350, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2400, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2450, 54353, 54353, 54353, 54353, 65535, 3.03390227223076, 3.03390227223076, 3.03390227223076, 3.03390227223076
2500, 0, 0, 54353, 54353, 0, 0, 0, 3.03390227223076, 3.03390227223076
2550, 0, 0, 0, 0, 0, 0, 0, 0, 0
2600, 0, 0, 0, 0, 0, 0, 0, 0, 0
2650, 0, 0, 0, 0, 0, 0, 0, 0, 0
2700, 0, 0, 0, 0, 0, 0, 0, 0, 0
2750, 0, 0, 0, 0, 0, 0, 0, 0, 0
2800, 0, 0, 0, 0, 0, 0, 0, 0, 0
2850, 0, 0, 0, 0, 0, 0, 0, 0, 0
2900, 0, 0, 0, 0, 0, 0, 0, 0, 0
2950, 0, 0, 0, 0, 0, 0, 0, 0, 0
3000, 0, 0, 0, 0, 0, 0, 0, 0, 0
3050, 0, 0, 0, 0, 0, 0, 0, 0, 0
3100, 0, 0, 0, 0, 0, 0, 0, 0, 0
3150, 0, 0, 0, 0, 0, 0, 0, 0, 0
3200, 0, 0, 0, 0, 0, 0, 0, 0, 0
3250, 0, 0, 0, 0, 0, 0, 0, 0, 0
3300, 0, 0, 0, 0, 0, 0, 0, 0, 0
3350, 0, 0, 0, 0, 0, 0, 0, 0, 0
3400, 0, 0, 0, 0, 0, 0, 0, 0, 0
3450, 0, 0, 0, 0, 0, 0, 0, 0, 0
3500, 0, 0, 0, 0, 0, 0, 0, 0, 0
3550, 0, 0, 0, 0, 0, 0, 0, 0, 0
3600, 0, 0, 0, 0, 0, 0, 0, 0, 0
3650, 0, 0, 0, 0, 0, 0, 0, 0, 0
3700, 0, 0, 0, 0, 0, 0, 0, 0, 0
3750, 0, 0, 0, 0, 0, 0, 0, 0, 0
3800, 0, 0, 0, 0, 0, 0, 0, 0, 0
3850, 0, 0, 0, 0, 0, 0, 0, 0, 0
3900, 0, 0, 0, 0, 0, 0, 0, 0, 0
3950, 0, 0, 0, 0, 0, 0, 0, 0, 0
4000, 0, 0, 0, 0, 0, 0, 0, 0, 0
